dia,num_ventas
43,5
44,39
45,19
46,0
47,0
48,17
49,0
50,16
51,10
52,21
53,4
54,0
55,11
56,46
57,8
58,7
59,8
60,0
61,1
62,4
63,0
64,3
65,14
66,21
67,0
68,4
69,1
70,14
71,50
72,2
73,7
74,0
75,2
76,19
77,3
78,5
79,8
80,1
81,0
82,0
83,20
84,6
85,7
86,8
87,15
88,0
89,23
90,0
91,16
92,0
93,8
94,8
95,0
96,0
97,1
98,9
99,10
100,6
101,1
102,0
103,0
104,4
105,18
106,9
107,4
108,16
109,0
110,0
111,12
112,10
113,7
114,8
115,14
116,0
117,1
118,0
119,21
120,3
121,3
122,20
123,0
124,4
125,3
126,4
127,10
128,20
129,1
130,0
131,0
132,23
133,1
134,4
135,8
136,20
137,0
138,2
139,0
140,10
141,0
142,14
143,5
144,0
145,5
146,9
147,4
148,6
149,8
150,15
151,0
152,6
153,7
154,9
155,2
156,6
157,22
158,0
159,5
160,3
161,4
162,11
163,10
164,17
165,0
166,0
167,18
168,10
169,5
170,12
171,16
172,2
173,1
174,16
175,0
176,8
177,8
178,9
179,0
180,0
181,8
182,5
183,26
184,32
185,0
186,0
187,10
188,3
189,15
190,5
191,5
192,9
193,0
194,1
195,11
196,5
197,3
198,9
199,15
200,0
201,1
202,4
203,4
204,4
205,10
206,10
207,0
208,1
209,10
210,6
211,14
212,5
213,6
214,0
215,0
216,14
217,15
218,7
219,22
220,14
221,0
222,0
223,8
224,74
225,3
226,10
227,7
228,0
229,2
230,24
231,15
232,7
233,12
234,22
235,0
236,49
237,6
238,24
239,13
240,1
241,0
242,47
243,2
244,20
245,2
246,17
247,13
248,8
249,0
250,10
251,4
252,9
253,12
254,11
255,19
256,0
257,6
258,8
259,9
260,46
261,4
262,9
263,1
264,2
265,8
266,9
267,27
268,13
269,15
270,0
271,1
272,13
273,18
274,8
275,2
276,0
277,5
278,21
279,10
280,17
281,26
282,3
283,0
284,4
285,16
286,19
287,19
288,6
289,12
290,3
291,0
292,2
293,11
294,10
295,7
296,12
297,2
298,0
299,5
300,12
301,6
302,3
303,6
304,14
305,1
306,2
307,3
308,5
309,4
310,15
311,14
312,2
313,2
314,1
315,9
316,6
317,3
318,16
319,1
320,3
321,4
322,4
323,4
324,13
325,10
326,1
327,0
328,1
329,2
330,9
331,18
332,11
333,2
334,3
335,11
336,14
337,3
338,9
339,4
340,1
341,4
342,5
343,11
344,23
345,7
346,8
347,5
348,5
349,10
350,9
351,3
352,16
353,2
354,1
355,8
356,4
357,9
358,9
359,5
360,6
361,1
362,14
363,13
364,6
365,6
366,7
367,11
368,2
369,6
370,5
371,11
372,18
373,12
374,3
375,1
376,2
377,10
378,9
379,13
380,12
381,6
382,3
383,3
384,5
385,22
386,21
387,3
388,0
389,6
390,18
391,8
392,14
393,86
394,11
395,2
396,9
397,7
398,5
399,11
400,21
401,8
402,32
403,14
404,12
405,15
406,28
407,19
408,29
409,9
410,1
411,32
412,11
413,7
414,30
415,22
416,17
417,1
418,9
419,5
420,16
421,15
422,10
423,43
424,0
425,23
426,15
427,7
428,24
429,12
430,4
431,1
432,3
433,4
434,64
435,16
436,15
437,22
438,0
439,5
440,25
441,16
442,27
443,27
444,16
445,5
446,10
447,35
448,22
449,3
450,30
451,1
452,3
453,27
454,7
455,16
456,14
457,33
458,4
459,1
460,3
461,4
462,36
463,16
464,13
465,8
466,2
467,2
468,0
469,32
470,16
471,23
472,34
473,2
474,20
475,21
476,14
477,42
478,20
479,18
480,1
481,15
482,4
483,84
484,22
485,2
486,9
487,1
488,7
489,5
490,17
491,18
492,3
493,2
494,2
495,17
496,7
497,1
498,16
499,6
500,22
501,0
502,0
503,6
504,5
505,3
506,6
507,25
508,1
509,2
510,35
511,12
512,9
513,13
514,18
515,0
516,7
517,8
518,6
519,7
520,2
521,21
522,0
523,3
524,11
525,9
526,17
527,11
528,6
529,0
530,1
531,11
532,9
533,1
534,9
535,5
536,0
537,0
538,12
539,9
540,5
541,8
542,1
543,0
544,0
545,7
546,25
547,10
548,8
549,1
550,0
551,1
552,11
553,9
554,2
555,11
556,1
557,1
558,2
559,7
560,16
561,4
562,14
563,8
564,0
565,3
566,1
567,8
568,5
569,10
570,6
571,0
572,8
573,6
574,3
575,4
576,2
577,0
578,0
579,3
580,8
581,0
582,8
583,6
584,14
585,0
586,1
587,3
588,0
589,0
590,3
591,14
592,0
593,0
594,6
595,9
596,9
597,12
598,4
599,0
600,0
601,11
602,4
603,12
604,11
605,0
606,1
607,0
608,14
609,2
610,5
611,6
612,0
613,0
614,16
615,0
616,10
617,9
618,0
619,5
620,1
621,4
622,8
623,3
624,0
625,7
626,0
627,0
628,0
629,2
630,8
631,1
632,2
633,4
634,0
635,0
636,1
637,2
638,7
639,4
640,1
641,0
642,9
643,1
644,3
645,1
646,1
647,6
648,0
649,0
650,5
651,1
652,0
653,0
654,1
655,0
656,0
657,0
658,7
659,2
660,3
661,1
662,0
663,0
664,0
665,0
666,0
667,9
668,1
669,0
670,0
671,0
672,0
673,2
674,2
675,1
676,0
677,0
678,0
679,1
680,2
681,1
682,4
683,0
684,7
685,2
686,0
687,5
688,20
689,1
690,0
691,1
692,13
693,5
694,3
695,7
696,24
697,0
698,5
699,8
700,4
701,9
702,8
703,11
704,0
705,0
706,9
707,2
708,8
709,2
710,2
711,0
712,6
713,23
714,8
715,6
716,9
717,11
718,0
719,0
720,5
721,2
722,4
723,9
724,10
725,1
726,0
727,2
728,7
729,4
730,25
731,0
732,0
733,7
734,12
735,9
736,7
737,10
738,0
739,0
740,5
741,10
742,7
743,1
744,3
745,4
746,0
747,3
748,9
749,5
750,3
751,2
752,1
753,0
754,1
755,0
756,0
757,4
758,3
759,3
760,0
761,1
762,1
763,4
764,1
765,5
766,3
767,0
768,3
769,3
770,0
771,0
772,1
773,8
774,0
775,0
776,0
777,3
778,4
779,0
780,7
781,0
782,0
783,5
784,0
785,0
786,0
787,3
788,0
789,3
790,7
791,5
792,2
793,0
794,8
795,0
796,7
797,9
798,10
799,6
800,6
801,3
802,1
803,2
804,6
805,6
806,10
807,16
808,4
809,0
810,8
811,13
812,2
813,2
814,2
815,11
816,0
817,0
818,2
819,1
820,3
821,1
822,2
823,1
824,2
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,1
835,1
836,0
837,0
838,0
839,2
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,3
888,7
889,1
890,0
891,4
892,0
893,0
894,4
895,2
896,1
897,1
898,6
899,5
900,0
901,0
902,1
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,11
913,2
914,0
915,4
916,3
917,5
918,1
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,1
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
